,max_lives,reject_rate,win_rate,num_words_cheated,num_words_doubted,num_words_doubted_correct
0,1,0.0,0.015,0,5,0
1,1,0.1,0.014,79,7,0
2,1,0.2,0.007,137,5,0
3,1,0.3,0.005,221,5,2
4,1,0.4,0.006,283,6,2
5,1,0.5,0.008,315,10,6
6,1,0.6,0.004,365,5,2
7,1,0.7,0.002,409,6,2
8,1,0.8,0.003,446,4,2
9,1,0.9,0.001,487,3,1
10,1,1.0,0.004,501,10,4
11,2,0.0,0.048,0,14,0
12,2,0.1,0.033,154,12,2
13,2,0.2,0.023,262,12,5
14,2,0.3,0.02,333,12,5
15,2,0.4,0.008,424,10,1
16,2,0.5,0.007,487,7,2
17,2,0.6,0.008,549,12,6
18,2,0.7,0.011,587,15,7
19,2,0.8,0.006,646,10,5
20,2,0.9,0.01,674,10,8
21,2,1.0,0.008,694,14,7
22,3,0.0,0.112,0,18,0
23,3,0.1,0.072,165,23,4
24,3,0.2,0.048,367,18,5
25,3,0.3,0.031,468,20,7
26,3,0.4,0.019,555,21,9
27,3,0.5,0.018,645,22,11
28,3,0.6,0.017,682,17,9
29,3,0.7,0.014,718,23,10
30,3,0.8,0.01,796,20,9
31,3,0.9,0.013,820,18,12
32,3,1.0,0.009,843,14,9
33,4,0.0,0.185,0,28,0
34,4,0.1,0.117,239,29,8
35,4,0.2,0.087,420,35,18
36,4,0.3,0.07,563,47,27
37,4,0.4,0.053,633,42,24
38,4,0.5,0.043,716,34,26
39,4,0.6,0.046,771,43,35
40,4,0.7,0.037,820,36,27
41,4,0.8,0.039,854,37,29
42,4,0.9,0.032,880,39,26
43,4,1.0,0.036,914,43,32
44,5,0.0,0.285,0,37,0
45,5,0.1,0.195,272,58,23
46,5,0.2,0.143,470,64,43
47,5,0.3,0.112,610,71,47
48,5,0.4,0.084,745,61,42
49,5,0.5,0.079,753,70,56
50,5,0.6,0.056,839,50,42
51,5,0.7,0.065,865,61,52
52,5,0.8,0.07,905,72,60
53,5,0.9,0.077,921,75,69
54,5,1.0,0.073,940,72,63
